Tag,Source Packages,Item,Category,Item Strain,Quantity,Batch Number,Lab Testing,<abbr title='Administrative Hold'>A.H.</abbr>,<abbr title='Packaged Date'>Date</abbr>,<abbr title='Received'>Rcv'd</abbr>
1A4060300004719000000389,"1A4060300004719000000152, 1A4060300004719000000180, 1A4060300004719000000256, 1A4060300004719000000282",Bulk Oil CO2 1st Pass,Extract (weight),,488.8,200319-FCLR,NotSubmitted,FALSE,3/19/2020,
1A4060300004719000000388,1A4060300004719000000370,Bulk Oil CO2 2nd Pass,Extract (weight),,463.6,190828-REMED,NotSubmitted,FALSE,3/18/2020,
1A4060300004719000000336,1A4060300004719000000334,Bulk Oil CO2 2nd Pass,Extract (weight),,918.6,191210-SCLR,NotSubmitted,FALSE,2/12/2020,
1A4060300004719000000317,1A4060300004719000000279,Bulk Oil CO2 2nd Pass,Extract (weight),,1031,190517-SCLR2,NotSubmitted,FALSE,1/28/2020,
1A4060300004719000000316,1A4060300004719000000308,Bulk Oil CO2 Raw,Extract (weight),,2260,200116-RAW,NotSubmitted,FALSE,1/27/2020,
1A4060300004719000000301,1A4060300004719000000288,Bulk Oil CO2 Raw,Extract (weight),,1971.2,200107-RAW,NotSubmitted,FALSE,1/17/2020,
1A4060300004719000000293,1A4060300004719000000281,Bulk Oil CO2 Raw,Extract (weight),,1460,200102-RAW,NotSubmitted,FALSE,1/14/2020,
1A4060300004719000000286,1A4060300004719000000257,Bulk Oil CO2 1st Pass,Extract (weight),,759.7,191113-FCLR,NotSubmitted,FALSE,1/8/2020,
1A4060300004719000000261,1A4060300004719000000252,Bulk Oil CO2 Raw,Extract (weight),,488.3,191210-RAW,NotSubmitted,FALSE,12/18/2019,
1A4060300004719000000250,1A4060300009859000000237,Bubble Hash Black Jack,Extract (weight),,684.3,,NotSubmitted,FALSE,12/12/2019,
1A4060300004719000000200,1A4060300004719000000198,Bulk Oil CO2 Raw,Extract (weight),,0,190829-RAW,NotSubmitted,FALSE,11/12/2019,
1A4060300004719000000163,1A4060300004719000000108,Bulk Capsule Oil 10mg CBD 20:1,Extract (weight),,3670.5,191021-CBD-CAP,NotSubmitted,FALSE,10/21/2019,
1A4060300004719000000132,1A4060300004719000000108,Bulk Capsule Oil 25mg CBD 20:1,Extract (weight),,3663.7,190925-CAP,NotSubmitted,FALSE,9/25/2019,
1A4060300004719000000120,1A4060300004719000000087,Bulk Oil Water Solubility R&D,Extract (weight),,2.4,,NotSubmitted,FALSE,9/23/2019,
1A4060300004719000000113,1A4060300004719000000104,Bulk Oil CO2 1st Pass,Extract (weight),,1169,190816-FCLR,NotSubmitted,FALSE,9/20/2019,
1A4060300004719000000114,1A4060300004719000000092,Bulk Oil CO2 1st Pass,Extract (weight),,697.9,190325-FCLR,NotSubmitted,FALSE,9/20/2019,
1A4060300004719000000111,"1A4060300004719000000040, 1A4060300004719000000082",Bulk Oil EHO Amber DV,Extract (weight),,169.5,190903-AMB,NotSubmitted,FALSE,9/19/2019,
1A4060300004719000000107,1A4060300004719000000099,Bulk Cart Oil ACDC,Extract (weight),,190.1,060719-ACDC,NotSubmitted,FALSE,9/18/2019,
1A4060300004719000000101,1A4060300004719000000032,Bulk Oil CO2 2nd Pass,Extract (weight),,945.5,1903252-FCLR,NotSubmitted,FALSE,9/13/2019,
1A406030000584D000000219,,Bulk Oil R&D -Beginning Inventory,Extract (weight),,2387.18,090919,NotSubmitted,FALSE,9/9/2019,5/28/2020
1A4060300004719000000098,1A4060300004719000000057,Bulk Capsule Oil 10mg CBD 1:1,Extract (weight),,3997.8,19090410-CAP,NotSubmitted,FALSE,9/4/2019,
1A4060300004719000000109,1A4060300004719000000057,Bulk Capsule Oil 25mg CBD 1:1,Extract (weight),,3651.6,19090425-CAP,NotSubmitted,FALSE,9/4/2019,
1A4060300004719000000082,"1A4060300004719000000041, 1A4060300004719000000042",Bulk Oil EHO 2nd Pass,Extract (weight),,727.8,190903-SCLR,NotSubmitted,FALSE,9/3/2019,
1A4060300004719000000077,1A4060300004719000000064,Bulk Oil CO2 1st Pass,Extract (weight),,802.76,190610-A-FCLR,NotSubmitted,FALSE,8/29/2019,
1A4060300004719000000051,,Bulk Oil EHO Amber CBD -Beginning Inventory,Extract (weight),,255.6,060719-PRF-B,NotSubmitted,FALSE,8/23/2019,
1A4060300004719000000052,,Bulk Oil CO2 2nd Pass -Beginning Inventory,Extract (weight),,257,190731-SCLR,NotSubmitted,FALSE,8/23/2019,
1A4060300004719000000053,,Bulk Oil CO2 2nd Pass -Beginning Inventory,Extract (weight),,878.5,190423-A-SCLR,NotSubmitted,FALSE,8/23/2019,
1A4060300004719000000054,,Bulk Oil CO2 1st Pass CBD -Beginning Inventory,Extract (weight),,43,190409-FCBD,NotSubmitted,FALSE,8/23/2019,
1A4060300004719000000055,,Bulk Oil CO2 1st Pass CBD -Beginning Inventory,Extract (weight),,1158.43,190401-FCLR,NotSubmitted,FALSE,8/23/2019,
1A4060300004719000000058,,Bulk Oil CO2 2nd Pass -Beginning Inventory,Extract (weight),,1019.1,201902072-SCLR,NotSubmitted,FALSE,8/23/2019,
1A4060300004719000000068,,Educational Samples Oil 5 Pack -Beginning Inventory,Extract (weight),,16.936,,NotSubmitted,FALSE,8/23/2019,
1A4060300004719000000010,,Bulk Kief for Extraction Strainbow -Beginning Inventory,Kief,Strainbow,2493.2,A10003,NotSubmitted,FALSE,8/22/2019,
